Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
TELA ADHES SYRA CARRET N6 25 MM X4 M ENV X1;7792009011257;1567,98;1;2618,5266
TELA HIPO DURAPORE 3M 25MM X 9,1M CJ X 12;;57083,4;1;95329,278
TELA HIPO MICRO 3M 12,5MM X 9,1M CJ X 24;;24372,51;1;40702,0917
TELA HIPO MICRO 3M 25MM X 9,1M CJ X 12;;17384,49;1;29032,0983
TELA HIPO MICRO 3M 50MM X 9,1M CJ X 6;;17384,49;1;29032,0983
TELA HIPO MICRO LISFAR CARRET 25MM X9MCJX12;7798028001187;18512,21;1;30915,3907
TELA HIPO MICRO LISFAR CARRET 50MM X9M CJX6;7798028001194;18512,21;1;30915,3907
TELA HIPO MICRO LISFAR CARRET12,5MMX9MCJX24;7798028004225;20181,74;1;33703,5058
TELA HIPO MICRO SYRA 12,5MM X 9M CJ X 18;7792009011905;11550,6;1;19289,502
TELA HIPO MICRO SYRA 25MM X 9M CJ X 12;7792009011912;12298,32;1;20538,1944
TELA HIPO MICRO SYRA 50MM X 9M CJ X 6;7792009011929;9592,02;1;16018,6734
TELA HIPO TRANS 3M 12,5MM X 9,1M CJ X 24;;21276,54;1;35531,8218
TELA HIPO TRANS 3M 25MM X 9,1M CJ X 12;;21276,54;1;35531,8218
TELA HIPO TRANS 3M 50MM X 9,1M CJ X 6;;22573,89;1;37698,3963
TELA HIPO TRANS 3M WHITE 25MM X 9.1M CJ X 12;;40866,53;1;68247,1051
TELA HIPO TRANS 3M WHITE 50MM X9.1M CJX6;;36715,01;1;61314,0667
TELCARDIA 40 MG CPR X 28;7795348422784;83140,67;0;83140,67
TELCARDIA 80 MG CPR X 28;7795348422791;113428,67;0;113428,67
TELEDOL 20 MG CPR REC X 10;7791909232434;12925,49;0;12925,49
TELEDOL 20 MG CPR REC X 20;7791909232489;20910,2;0;20910,2
TELEDOL SL SUBLIN 10 MG CPR X 10;7791909235862;12328,24;0;12328,24
TELMISARTAN RICHET 40 MG CPR X 28;7795336295246;59975,01;0;59975,01
TELMISARTAN RICHET 80 MG CPR X 28;7795336295260;88125,44;0;88125,44
TELOMERINA NAD+ CAP VEG X 30;7798008191204;35473,97;1;59241,5299
TELOMERINA NAD+ CAP VEG X 60;7798008191778;56706,58;1;94699,9886
TELPRES 40 MG CPR X 28;7792234258281;85578,26;0;85578,26
TELPRES 80 MG CPR X 28;7792234259288;119107,76;0;119107,76
TEMAX 10/10 MG CPR X 30;7795356000547;49632,54;0;49632,54
TEMAX 10/20 MG CPR X 30;7795356999704;66911,01;0;66911,01
TEMAX 5/10 MG CPR X 30;7795356999681;40255,1;0;40255,1
TEMAX 5/20 MG CPR X 30;7795356999698;59543,01;0;59543,01
TEMISARTAN 100 MG CRP X 30;7795337900040;35327,72;0;35327,72
TEMISARTAN 50 MG CPR X 30;7795337909043;29155,68;0;29155,68
TEMISARTAN DIUR 100/25 MG CPR X 30;7795337900064;37203,49;0;37203,49
TEMISARTAN DIUR 50/12,5 MG CPR X 30;7795337900057;33962,94;0;33962,94
TEMISTAC SOL X 120 ML;7795337911671;262220,71;0;262220,71
TEMISTAC SOL X 25 ML;7795337911756;125063,72;0;125063,72
TEMPLARIS 200 MG CAP X 30;7798161990287;43102,6;0;43102,6
TEMPOTANE 2% JAR X 100 ML;7795347958529;13986,26;0;13986,26
TEMPOTANE 600 MG SOB X 10;7795347958482;16821,65;0;16821,65
TEMPOTANE 600 MG SOB X 20;7795347958499;28328,07;0;28328,07
TENCAS 10 MG CPR X 30;7791909370426;11565,38;0;11565,38
TENCAS 10 MG CPR X 60;7791909370594;21669,23;0;21669,23
TENCAS 20 MG CPR X 30;7791909370808;13428,94;0;13428,94
TENCAS 5 MG CPR X 30;7791909370044;6256,3;0;6256,3
TENCAS 5 MG CPR X 60;7791909370112;11762,27;0;11762,27
TENCAS D 10/25 MG CPR X 30;7791909371164;16857,24;0;16857,24
TENCAS D 20/12,5 MG CPR X 30;7791909371478;17127,89;0;17127,89
TENCILAN 10 MG CPR X 50;7791171000366;17262,65;0;17262,65
TENCILAN 5 MG CPR X 50;7791171000342;15141,51;0;15141,51
TENEGLUCON CPR X 30;7798129417160;92058;0;92058
TENKDOL 20 MG CPR X 10;7796363000872;13541,39;0;13541,39
TENKDOL 20 MG CPR X 20;7796363000780;21681,5;0;21681,5
TENKDOL SL 10 MG CPR X 10;7796363000889;12886,81;0;12886,81
TENSIMED 10 MG CPR X 30;7798011652129;27850;0;27850
TENSIMED 5 MG CPR X 30;7798011652112;15020;0;15020
TENSIOMETRO ANEROIDE C/ESTETOS MAVERICK YE6700 X1;652217986969;18719,67;1;31261,8489
TENSIOMETRO ANEROIDE PED C/EST SILFAB(I1300-P)X1;7798028882724;21534,34;1;35962,3478
TENSIOMETRO ANEROIDE SILFAB  (I1300) X 1;7798028880768;22485,66;1;37551,0522
TENSIOMETRO ASPEN C/ESTETOS AS102 ENV X 1;7790808030158;19367,98;1;32344,5266
TENSIOMETRO ASPEN DIG AUT BRAZO DBP6179;7790808037577;56567,98;1;94468,5266
TENSIOMETRO CITIZEN DIGITAL AUT (CHU-304)X1;4580193651433;67909,34;1;113408,5978
TENSIOMETRO CITIZEN DIGITAL MUÃ‘E (CH-617)X1;4580193650870;52678,18;1;87972,5606
TENSIOMETRO CNT ANE SUP. C/EST HS50E/30A1X1;7791914003296;25807,56;1;43098,6252
TENSIOMETRO CNT ANE SUP.S/ESTET HS50E X1;7791914003302;19181,78;1;32033,5726
TENSIOMETRO CORONET ANEROIDE ENV X 1;7791914003289;14885,88;1;24859,4196
TENSIOMETRO CORONET ANEROIDES C/ESTETOS X 1;7791914003265;18005,42;1;30069,0514
TENSIOMETRO CORONET DIG BRAZO(LD-527 BLUE)X1;7791914009670;47499,35;1;79323,9145
TENSIOMETRO CORONET DIG BRAZO(LD-527)X1;7791914008338;43181,23;1;72112,6541
TENSIOMETRO CORONET DIGITAL MUÃ‘E (LD-752)X1;7791914552497;30116,77;1;50295,0059
TENSIOMETRO ICARE AUT BRAZO HL858A2-LT X1;4719872483519;39163,78;1;65403,5126
TENSIOMETRO ICARE AUT BRAZO HL858A3 X 1;4719872483526;32150,55;1;53691,4185
TENSIOMETRO MAVERICK DIG AUT YE690A BT;7798432060145;47704,54;1;79666,5818
TENSIOMETRO OMRON AUT BRAZO HEM-7142 X1;73796714222;66675,42;1;111347,9514
TENSIOMETRO OMRON DE MUÃ‘ECA(HEM-6161)X1;4015672111110;44287,1;1;73959,457
TENSIOMETRO SAN UP ANEROIDES C/ESTETOSCOPIO PULSE PRESS SU-TEA202 X 1;7798411390324;18710,03;1;31245,7501
TENSIOMETRO SAN UP DIGITAL AUTOMATICO MEDIPRESS ULTRA SU-TED203 X 1;7798411390690;43239,41;1;72209,8147
TENSIOMETRO SAN UP DIGITAL BRAZO CARE PRESS SU-TED301 X 1;7798411390126;37726,99;1;63004,0733
TENSIOMETRO SAN UP DIGITAL BRAZO MEDIPRESS SU-TED201 X 1;7798411390676;29938,34;1;49997,0278
TENSIOMETRO SAN UP DIGITAL MUÃ‘ECA VITALPRESS SU-TEB401 X 1;7798411390133;24342,45;1;40651,8915
TENSIOMETRO SILFAB AUTOM BRAZO(TAB100)X1;7798028884308;54389,38;1;90830,2646
TENSIOMETRO SILFAB AUTOM MUÃ‘EC(TAM200)X1;7798028884315;42150,08;1;70390,6336
TENSIUM 0,25 MG CPR X 30;7795338013466;4893,19;0;4893,19
TENSIUM 0,5 MG CPR X 30;7795338001265;8948,9;0;8948,9
TENSIUM 0,5 MG CPR X 60;7795338001272;16336,6;0;16336,6
TENSIUM 1 MG CPR X 30;7795338001289;13431,11;0;13431,11
TENSIUM 1 MG CPR X 60;7795338001296;26389,29;0;26389,29
TENSIUM 2 MG CPR X 30;7795338001302;20503,77;0;20503,77
TENSIUM GASTRIC CPR X 30;7795338013770;20021,92;0;20021,92
TENSONIT 20 MG CPR REC X 30;7795326004001;79856,66;0;79856,66
