Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D;BLOKIUM 75 MG CPR X 15;21236;4408341;7791909317322;CASASCO S.A.I.C., LAB.;16513,06;0;0;0;0;1000000611
D;BLOKIUM 75 MG CPR X 30;21237;4408342;7791909317490;CASASCO S.A.I.C., LAB.;34781,80;0;0;0;0;1000000612
D;BLOKIUM B12 AMP X 3;32797;4617152;7791909319210;CASASCO S.A.I.C., LAB.;40350,04;0;0;0;0;1000000613
D;BLOKIUM B12 AMP X 5;24053;4617151;7791909319258;CASASCO S.A.I.C., LAB.;58464,22;0;0;0;0;1000000614
D;BLOKIUM B12 CPR X 15;24052;4617071;7791909319012;CASASCO S.A.I.C., LAB.;23769,79;0;0;0;0;1000000615
D;BLOKIUM B12 CPR X 30;59849;4617073;7791909319036;CASASCO S.A.I.C., LAB.;45311,49;0;0;0;0;1000000616
D;BLOKIUM B12 IM AMP X 3;54018;6447001;7791909322029;CASASCO S.A.I.C., LAB.;34801,65;0;0;0;0;1000000617
D;BLOKIUM B12 IM AMP X 5;54019;6447002;7791909322036;CASASCO S.A.I.C., LAB.;45470,39;0;0;0;0;1000000618
D;BLOKIUM CORT CPR X 15;46818;6005682;7791909324627;CASASCO S.A.I.C., LAB.;23970,59;0;0;0;0;1000000619
D;BLOKIUM CORT INY AMP X 5;46819;6005552;7791909324719;CASASCO S.A.I.C., LAB.;45201,71;0;0;0;0;1000000620
D;BLOKIUM COX 120 MG CPR X 7;54073;6457001;7791909326263;CASASCO S.A.I.C., LAB.;14996,40;0;0;0;0;1000000621
D;BLOKIUM COX 60 MG CPR X 28;54070;6456713;7791909326010;CASASCO S.A.I.C., LAB.;35815,49;0;0;0;0;1000000622
D;BLOKIUM COX 90 MG CPR X 14;54071;6456842;7791909326126;CASASCO S.A.I.C., LAB.;27912,88;0;0;0;0;1000000623
D;BLOKIUM COX 90 MG CPR X 28;54072;6456843;7791909326171;CASASCO S.A.I.C., LAB.;45289,75;0;0;0;0;1000000624
D;BLOKIUM COX GESIC 60/325 MG CPR X 14;62773;6798001;7791909111913;CASASCO S.A.I.C., LAB.;27624,73;0;0;0;0;1000026245
D;BLOKIUM COX GESIC 60/325 MG CPR X 28;62774;6798002;7791909111920;CASASCO S.A.I.C., LAB.;44559,11;0;0;0;0;1000026246
